labels
"Finger,Skin,Hand,Nail,Thumb,Gesture,"
"Face,Eyebrow,Lip,Hair,Nose,Skin,Cheek,Eye,Beauty,Black hair,"
"Athlete,Leg,Sports,Thigh,Sport venue,Sprint,Track and field athletics,Athletics,Recreation,Heptathlon,"
"Billiards,Pool,Billiard table,Indoor games and sports,Billiard room,Billiard ball,Games,Pool player,Ball,Straight pool,"
"Shopping cart,Cart,Vehicle,Floor,Table,"
"Desert,Sand,Natural environment,Sky,Erg,Aeolian landform,Blue,Sahara,Dune,Landscape,"
"Black,Darkness,Light,Sky,Electric blue,Font,Automotive lighting,Photography,Graphics,Logo,"
"Architecture,Building,Facade,Shopping mall,Urban area,Mixed-use,Commercial building,City,Metropolitan area,Sky,"
"Vegetable juice,Eating,Meal,Homemaker,Food,Breakfast,Vegetarian food,Kitchen,Cooking,Food craving,"
"Leaf,Water,Drop,Violet,Purple,Dew,Moisture,Lilac,Close-up,Plant,"
"People,Facial expression,Youth,Yellow,Fun,Community,Friendship,Smile,Event,Happy,"
"Lady,Portrait,Human,Room,Red hair,Photography,Art,"
"Sitting,Beauty,Fashion,Hairstyle,Snapshot,Leg,Human,Footwear,Photography,Human body,"
"Face,Black,Darkness,Head,Human,Eye,Smoking,Photography,Portrait,Night,"
"Marathon,Running,Long-distance running,Ultramarathon,Outdoor recreation,Athletics,Recreation,Sports,Athlete,Individual sports,"
"Hair,Face,Beauty,Eyebrow,Brown hair,Hairstyle,Blond,Long hair,Lip,Model,"
"Running,Outdoor recreation,Recreation,Long-distance running,Ultramarathon,Individual sports,Sky,Sports,Jogging,Exercise,"
"Blue,Pink,Red,Hand,Colorfulness,Art,Finger,Illustration,Smile,Paper,"
"Clothing,Undergarment,Undergarment,Waist,Brassiere,Sports bra,Abdomen,Briefs,Lingerie,Stomach,"
"White,Floor,Flooring,Wood,Beige,Tile,"
"Graduation,Academic dress,Scholar,Event,Community,Public event,Student,Team,Headgear,College,"
"Cycling,Bicycle,Outdoor recreation,Mountain biking,Vehicle,Mountain bike,Jungle,Trail,Recreation,Cycle sport,"
"Sky,Clothes hanger,T-shirt,Personal protective equipment,Uniform,"
"Shelf,Shelving,Library,Bookcase,Book,Wood,Publication,Furniture,Building,Collection,"
"Mountainous landforms,Mountain,Ridge,Wilderness,Mountain range,Adventure,Alps,Backpacking,Mountaineer,Sky,"
"Hair,Portrait,Portrait photography,Blond,Photography,Smile,Outerwear,Neck,Long hair,Brown hair,"
"Strength training,Physical fitness,Exercise equipment,Sports,Shoulder,Weights,Standing,Lunge,Joint,Arm,"
"Weights,Exercise equipment,Kettlebell,Physical fitness,Crossfit,Sports equipment,"
"Thigh,Leg,Undergarment,Athlete,Muscle,Human leg,Physical fitness,Sportswear,Arm,Recreation,"
"Green,Grass,Artificial turf,Baize,Textile,Plant,Lawn,Flooring,Grassland,"
"Text,Pen,Font,Stationery,Notebook,Paper,Writing,Writing instrument accessory,Writing implement,Office supplies,"
"Child,Learning,Writing instrument accessory,Homework,Writing,Toddler,Reading,"
"Barechested,Muscle,Male,Leisure,Sitting,Vacation,Sky,Fun,Leg,Tree,"
"Water,Green,Vehicle,Sea,"
"Footwear,Shoe,Leg,Room,High heels,Human leg,Sportswear,"
"Product,Hand,Design,Technology,Font,Illustration,Photography,Visual arts,Ipad,Electronic device,"
"Sports,Player,Team sport,Ball game,Tournament,Sports equipment,Soccer,Competition event,Sport venue,Street football,"
"Furniture,Chair,Table,Room,Restaurant,Wood,Dining room,Interior design,Kitchen & dining room table,Lamp,"
"Face,Lip,Eyebrow,Nose,Head,Cheek,Beauty,Skin,Purple,Forehead,"
"Cosmetics,Orange,Red,Beauty,Eye,Pink,Turquoise,Eye shadow,Material property,Eye liner,"
"Red,Pink,Hand,Finger,Book,Nail,Games,Love,"
"Event,Restaurant,Conversation,Design,Fun,Room,White-collar worker,Business,"
"Physical fitness,Sitting,Shoulder,Leg,Arm,Joint,Sportswear,Abdomen,Human body,Fun,"
"Text,Font,Party supply,Confetti,Balloon,Paper,Paper product,"
"Orange,Red,Yellow,Macro photography,Font,Peach,"
"Shoulder,Arm,Physical fitness,Muscle,Standing,Joint,Bodybuilding,Weightlifting,Room,Weight training,"
"Road,Asphalt,Sky,Atmospheric phenomenon,Highway,Highland,Road trip,Horizon,Lane,Road surface,"
